Product Name,Product Rating,Number of Reviews,Product Price,Product URL
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,4.3 out of 5 stars,"6,874",₹799,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-3
"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",3.9 out of 5 stars,155,₹699,https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-4
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",4.3 out of 5 stars,"5,256",₹449,https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-5
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,4.1 out of 5 stars,"1,951",₹689,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-6
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,3.9 out of 5 stars,"3,843",₹689,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-7
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",4.1 out of 5 stars,"10,270",₹229,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-8
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",4.1 out of 5 stars,"6,653",₹699,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-9
ADISA Laptop Backpack 31 Ltrs,4.0 out of 5 stars,"9,231",₹349,https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-10
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,3.9 out of 5 stars,"4,291",₹374,https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-11
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,4.5 out of 5 stars,"7,727","₹2,299",https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-12
Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown,4.4 out of 5 stars,"6,239",₹798,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-13
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L, Charcoal black",4.3 out of 5 stars,"13,221",₹499,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-14
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",3.9 out of 5 stars,"17,605",₹549,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-15
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),3.7 out of 5 stars,"2,764",₹529,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-16
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),4.3 out of 5 stars,"13,221",₹499,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1697559876&sprefix=ba%2Caps%2C283&sr=8-1
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),4.0 out of 5 stars,"56,348","₹1,099",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1697559876&sprefix=ba%2Caps%2C283&sr=8-2
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,4.1 out of 5 stars,"1,951",₹729,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1697559876&sprefix=ba%2Caps%2C283&sr=8-3
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,3.9 out of 5 stars,"3,843",₹689,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1697559876&sprefix=ba%2Caps%2C283&sr=8-4
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",4.3 out of 5 stars,"5,256",₹449,https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1697559876&sprefix=ba%2Caps%2C283&sr=8-5
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",4.1 out of 5 stars,"6,653",₹699,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1697559876&sprefix=ba%2Caps%2C283&sr=8-6
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",3.9 out of 5 stars,"17,605",₹549,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1697559876&sprefix=ba%2Caps%2C283&sr=8-7
"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",3.9 out of 5 stars,155,₹699,https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1697559876&sprefix=ba%2Caps%2C283&sr=8-8
American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,4.3 out of 5 stars,"1,342","₹1,399",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1697559876&sprefix=ba%2Caps%2C283&sr=8-9
